case_id,step,object,changed_fraction_of_image,changed_pixels_inside_placement_rectangle,outside_placement_changed_fraction,outside_placement_mae,outside_placement_max_error,outside_placement_psnr,prior_objects_mean_changed_fraction,prior_objects_mean_mae,target_region_color_similarity,target_region_dino_similarity,target_region_edge_similarity
1,1,couch,0.3318662643432617,0.352352243043562,0.2627609999172215,7.399785397801047,218.0,23.006476711529622,,,0.8113220239086826,0.7251007556915283,0.3440729081630707
1,2,floor lamp,0.061453819274902344,0.0030571548285975884,0.06428629325605342,4.2285601446063,253.0,22.846108204127063,0.13347130170539387,6.650756643002471,0.8103747408097113,0.19293707609176636,0.1544758677482605
1,3,potted plant,0.06938648223876953,0.012699808953090424,0.07043224354046719,4.094719550904936,226.0,24.548559518526556,0.37506559720001487,17.304961392019617,0.5781667037959443,0.06951604783535004,0.2800288498401642
2,1,toaster,0.19211196899414062,0.00040209686066599155,0.19435382370201068,11.77594144763258,216.0,18.16836181243499,,,0.4492145346488243,0.09807565063238144,0.2928571105003357
2,2,microwave,0.08986091613769531,0.0006792180502196846,0.0914282940091271,9.288685309253326,255.0,17.887533203376115,0.0019181585677749361,1.5418265132139812,0.38685936518722785,0.2812194228172302,0.2131597101688385
2,3,oven,0.01803112030029297,0.01586713915481039,0.018071417402443776,2.1317014313458693,122.0,38.856159945238865,0.04127033122094415,2.959380603815739,0.5414296613665536,0.11654485762119293,0.24684633314609528
3,1,laptop,0.035773277282714844,0.032203886859854446,0.03556662852305859,7.024567030859746,211.0,18.612603461115064,,,0.37203078323583777,0.5217147469520569,0.08960296958684921
3,2,clock,0.0625295639038086,0.6528894108316684,0.022927609641302134,3.067974551518534,208.0,26.249382458461305,0.0015068886337543054,1.3746531764255645,0.6893957696115477,0.9168109893798828,0.21026885509490967
3,3,chair,0.13433456420898438,0.13346585261962232,0.13504124477802168,10.630540607519649,220.0,17.590542883462973,0.2014167861797478,25.565026000445858,0.6106484393814258,0.3282182216644287,0.19886094331741333
4,1,dresser,0.30536365509033203,0.09319575136556557,0.29625442561397425,24.468390317895974,255.0,13.278185586824167,,,0.5069210852138638,0.09939016401767731,0.14135950803756714
4,2,bed,0.3062286376953125,0.6556567342667796,0.1407787200939119,10.385764080312327,247.0,18.007737611431747,0.28725578950442426,23.841310632830066,0.8998921951046722,0.8268306255340576,0.17795024812221527
4,3,pillow,0.4065742492675781,0.056321014064420485,0.40411413670730445,9.179362083472704,219.0,22.075496982425644,0.4708824449333948,20.977248380606788,0.582417851019204,0.21342246234416962,0.1553145945072174
5,1,teapot,0.0871896743774414,0.000404703308722997,0.09241603598428923,10.175801617189617,229.0,17.405165401646002,,,0.3845585115423448,0.07424518465995789,0.1599331647157669
5,2,vase,0.09433650970458984,0.17347526764322324,0.08405573901278535,7.250679568530528,201.0,21.28648954778204,0.45326633165829144,46.86329424902289,0.6626499410377279,0.282120943069458,0.14383414387702942
5,3,fork,0.0677022933959961,0.025651138876759027,0.06761221457616516,5.861769823271818,249.0,21.51041719273547,0.3021786137538814,25.567854986394423,0.5634405313529367,0.05961746349930763,0.2498004287481308
6,1,toothbrush,0.054076194763183594,0.16163165970054494,0.04584914668196965,5.50822937111498,252.0,21.036990447411334,,,0.8859988613661592,0.3989565372467041,0.2267773449420929
6,2,bucket,0.09531593322753906,0.0,0.10004945113247098,6.5640372144797725,176.0,23.10036801440856,0.21165147772762116,3.8070578883116144,0.35214428531009084,0.01715226098895073,0.12449366599321365
6,3,potted plant,0.10674667358398438,0.22748633098667048,0.08468004927893326,6.88746116215498,255.0,19.967422909359374,0.2776168980495699,4.298136437439751,0.9715077594214191,0.6380175352096558,0.4343586266040802
7,1,ladder,0.07240581512451172,0.006993928058691042,0.07685877282050654,6.540001046640759,242.0,20.820662039512527,,,0.6612925828974622,0.13087573647499084,0.13570885360240936
7,2,bicycle,0.1499176025390625,0.4603117048346056,0.0967503187415468,8.591477113330582,225.0,18.337604933501567,0.11560744900975466,12.121913489013696,0.7399093123558685,0.8518876433372498,0.3120800852775574
7,3,hammer,0.03908348083496094,0.012932506954272607,0.039207552290305696,2.1245953437881635,255.0,27.97743814333767,0.11815318089317672,8.427566979164046,0.6257864362006058,0.01510379184037447,0.19056525826454163
8,1,chair,0.5715970993041992,0.12573348705208698,0.5413276501142567,12.727922429431526,230.0,19.01002936419403,,,0.7641600460175942,0.5229672789573669,0.29459866881370544
8,2,table,0.3757486343383789,0.11926873282047508,0.3539232445046427,10.657200060379575,235.0,19.140190751775,0.4803301067262348,6.846496235625052,0.7546931507377005,0.4499287009239197,0.2590125799179077
8,3,umbrella,0.4203042984008789,0.06026488413304562,0.4132881354579129,20.54371001777579,255.0,12.80180048057694,0.5822242254052762,7.726204461729861,0.8010794569348691,0.14932945370674133,0.14386112987995148
9,1,basket,0.225830078125,0.0010599662162162162,0.23687422831547714,23.827183723252023,246.0,12.412469917508647,,,0.3569774594964439,0.05762100964784622,0.19212347269058228
9,2,table,0.16160106658935547,0.38104820862668265,0.11105075858885215,5.945364026296759,236.0,19.903511996448863,0.20843260125327834,18.988474911075965,0.8296761354341782,0.12352434545755386,0.32491636276245117
9,3,chair,0.15856647491455078,0.07347731687807108,0.15385875340572241,10.106769231178973,255.0,17.70798769565774,0.374305224318,20.46276791426895,0.8607000117746905,0.05341292545199394,0.2221771776676178
10,1,table,0.1556854248046875,0.20166250122512985,0.13588879238346274,7.748937947937813,229.0,19.44730253139888,,,0.7079285342593181,0.519709587097168,0.18797414004802704
10,2,chair,0.08705520629882812,0.010166075106261777,0.08848273207915226,6.858519940995843,239.0,19.63820373903162,0.33716552147924694,32.34503472804126,0.8564908779536643,0.2651539146900177,0.20488493144512177
10,3,book,0.03855705261230469,0.032599554786049964,0.03807328464822707,3.3596140105637984,237.0,25.464392484919202,0.2801229972291501,24.767153782952743,0.48358696135278256,0.15747888386249542,0.15930984914302826
