step,timestep,layer,head,source,mass,entropy
0,1.0,0,0,text,0.0038471934385597706,0.8898969888687134
0,1.0,0,1,text,0.025027725845575333,0.9917518496513367
0,1.0,0,2,text,0.003823092905804515,0.9842028617858887
0,1.0,0,3,text,0.018205871805548668,0.9688372611999512
0,1.0,0,4,text,0.012848037295043468,0.9734600782394409
0,1.0,0,5,text,0.0004819153400603682,0.8842634558677673
0,1.0,0,6,text,0.007597907911986113,0.9744043946266174
0,1.0,0,7,text,0.004892577417194843,0.9803642630577087
0,1.0,0,8,text,0.007733236998319626,0.9901313781738281
0,1.0,0,9,text,0.012410593219101429,0.9807234406471252
0,1.0,0,10,text,0.0016104482347145677,0.9725074768066406
0,1.0,0,11,text,0.009919711388647556,0.9231288433074951
0,1.0,0,12,text,0.002817824948579073,0.7620735764503479
0,1.0,0,13,text,0.027417968958616257,0.929669976234436
0,1.0,0,14,text,0.006882601883262396,0.9583204984664917
0,1.0,0,15,text,0.015462272800505161,0.9974334836006165
0,1.0,0,16,text,0.0027162209153175354,0.9548583030700684
0,1.0,0,17,text,0.010044864378869534,0.9601348638534546
0,1.0,0,18,text,0.003998700063675642,0.9847850799560547
0,1.0,0,19,text,0.007437183987349272,0.9802812337875366
0,1.0,0,20,text,0.0018110848031938076,0.9809665083885193
0,1.0,0,21,text,0.11736536771059036,0.9804964065551758
0,1.0,0,22,text,0.011048924177885056,0.9796523451805115
0,1.0,0,23,text,0.008957301266491413,0.985970675945282
0,1.0,0,0,target,0.33499178290367126,0.9980620741844177
0,1.0,0,1,target,0.34729424118995667,0.9974572062492371
0,1.0,0,2,target,0.3669729232788086,0.9947230219841003
0,1.0,0,3,target,0.3287668824195862,0.9979134202003479
0,1.0,0,4,target,0.34841984510421753,0.995677649974823
0,1.0,0,5,target,0.856854259967804,0.9823501110076904
0,1.0,0,6,target,0.2900140881538391,0.9978338479995728
0,1.0,0,7,target,0.28852981328964233,0.9979504346847534
0,1.0,0,8,target,0.3253282904624939,0.9992770552635193
0,1.0,0,9,target,0.32758790254592896,0.998913049697876
0,1.0,0,10,target,0.2695845365524292,0.987756609916687
0,1.0,0,11,target,0.33596986532211304,0.9993992447853088
0,1.0,0,12,target,0.35275667905807495,0.9988287091255188
0,1.0,0,13,target,0.2693307101726532,0.9888316988945007
0,1.0,0,14,target,0.40242481231689453,0.997386634349823
0,1.0,0,15,target,0.347963809967041,0.9985990524291992
0,1.0,0,16,target,0.3124368190765381,0.998982846736908
0,1.0,0,17,target,0.3484214246273041,0.998933732509613
0,1.0,0,18,target,0.35531869530677795,0.9990797638893127
0,1.0,0,19,target,0.31421539187431335,0.9960880279541016
0,1.0,0,20,target,0.43064630031585693,0.959989607334137
0,1.0,0,21,target,0.3506697714328766,0.9971989393234253
0,1.0,0,22,target,0.37550655007362366,0.9975433349609375
