case_id,step,object,allowed_change_fraction,changed_fraction_of_image,changed_pixels_inside_interaction,changed_pixels_inside_placement_rectangle,color_histogram_similarity,dino_identity_similarity,edge_structure_similarity,interaction_inside_rectangle,object_support_inside_rectangle,outside_changed_fraction,outside_mae,outside_max_error,outside_psnr,prior_objects_mean_changed_fraction,prior_objects_mean_mae
1,1,couch,0.14825820922851562,0.11495494842529297,1.0,0.9995934925625731,0.9989404364746707,0.9997164607048035,0.9948300123214722,0.9293901968351987,1.0,0.0,0.0,0.0,inf,,
1,2,floor lamp,0.031116485595703125,0.010333061218261719,1.0,1.0,0.9886119647424655,0.9944319725036621,0.9708776473999023,0.9378754444035797,1.0,0.0,0.0,0.0,inf,0.0,0.0
1,3,potted plant,0.025508880615234375,0.012482643127441406,1.0,0.9983191993276798,0.9411684721784366,0.965743899345398,0.8734267950057983,0.8939733811873785,1.0,0.0,0.0,0.0,inf,0.00021818670068141384,0.01538775692882638
2,1,toaster,0.014844894409179688,0.0072307586669921875,1.0,0.9992086520706938,0.976340431318658,0.9624350666999817,0.7754336595535278,0.7928176795580111,1.0,0.0,0.0,0.0,inf,,
2,2,microwave,0.018674850463867188,0.009442329406738281,1.0,0.9997980002019998,0.9853088049611989,0.9459939002990723,0.8521680235862732,0.7710652640179757,1.0,0.0,0.0,0.0,inf,0.0,0.0
2,3,oven,0.020325660705566406,0.011938095092773438,1.0,0.8797731266975555,0.9300980941147629,0.6572812795639038,0.46025779843330383,0.828273823488012,1.0,0.0,0.0,0.0,inf,0.0,0.0
3,1,laptop,0.02449512481689453,0.012777328491210938,1.0,0.999552171965965,0.9961743366132492,0.9729076623916626,0.916416585445404,0.8566478489390695,1.0,0.0,0.0,0.0,inf,,
3,2,clock,0.05085277557373047,0.0415802001953125,1.0,0.9368119266055046,0.9553985301165756,0.9648545384407043,0.7949274182319641,0.9260731766779814,1.0,0.0,0.0,0.0,inf,0.0,0.0
3,3,chair,0.07891368865966797,0.039702415466308594,1.0,0.9998558766303957,0.9911888326415162,0.9984333515167236,0.9845966100692749,0.9820658150748668,1.0,0.0,0.0,0.0,inf,0.0,0.0
4,1,dresser,0.05694293975830078,0.03989696502685547,1.0,1.0,0.9975128868263177,0.9973829388618469,0.976317822933197,0.976686931618349,1.0,0.0,0.0,0.0,inf,,
4,2,bed,0.13747692108154297,0.0972280502319336,1.0,0.9998626791301704,0.9970351299526198,0.9992462992668152,0.9798219799995422,0.9924733793486178,1.0,0.0,0.0,0.0,inf,0.0,0.0
4,3,pillow,0.046753883361816406,0.02989673614501953,1.0,0.9999681010558551,0.9980306705404747,0.9967713952064514,0.9472852349281311,0.9040081591024988,1.0,0.0,0.0,0.0,inf,0.00017003989043916248,0.0103908160076472
5,1,teapot,0.029183387756347656,0.01722431182861328,1.0,0.9884834726759316,0.9933801564800416,0.9913482069969177,0.9404225945472717,0.8692526388026535,1.0,0.0,0.0,0.0,inf,,
5,2,vase,0.04254913330078125,0.02802562713623047,1.0,0.9991152550447476,0.9786812722920842,0.9902234077453613,0.9492072463035583,0.9503317195624887,1.0,0.0,0.0,0.0,inf,0.0,0.0
5,3,fork,0.01508331298828125,0.003757476806640625,1.0,0.9926395939086294,0.9783621801348391,0.9901266098022461,0.8174311518669128,0.8615326251896813,1.0,0.0,0.0,0.0,inf,0.0,0.0
6,1,toothbrush,0.011824607849121094,0.0027418136596679688,1.0,0.9558260869565217,0.9538161831378726,0.9381591081619263,0.8993000388145447,0.5522219533833373,1.0,0.0,0.0,0.0,inf,,
6,2,bucket,0.04267406463623047,0.028700828552246094,1.0,1.0,0.9978189746316767,0.985662579536438,0.9798235297203064,0.9119270565624511,1.0,0.0,0.0,0.0,inf,0.0,0.0
6,3,potted plant,0.023693084716796875,0.011603355407714844,1.0,0.998684967535136,0.9322449617939207,0.9504611492156982,0.7856898903846741,0.899090323619385,1.0,0.0,0.0,0.0,inf,0.0,0.0
7,1,ladder,0.04511260986328125,0.016099929809570312,1.0,0.9938988271531809,0.9684286929094914,0.9447140693664551,0.5286635756492615,0.9546338576018941,1.0,0.0,0.0,0.0,inf,,
7,2,bicycle,0.08678436279296875,0.048473358154296875,1.0,0.9609270480837334,0.8437928617486167,0.9246596693992615,0.6940093040466309,0.9427032967032967,1.0,0.0,0.0,0.0,inf,0.0,0.0
7,3,hammer,0.013377189636230469,0.0033893585205078125,1.0,0.9912774338773214,0.9761405233047019,0.9788600206375122,0.8164774775505066,0.8450844799315606,1.0,0.0,0.0,0.0,inf,0.0,0.0
8,1,chair,0.053854942321777344,0.03154182434082031,1.0,0.9965531837697285,0.9324037364592624,0.9114600419998169,0.6963595747947693,0.9702856333339236,1.0,0.0,0.0,0.0,inf,,
8,2,table,0.04062461853027344,0.017122268676757812,1.0,0.9966024284282055,0.9928832627728408,0.9914519786834717,0.9109988212585449,0.9742476172590262,1.0,0.0,0.0,0.0,inf,0.0,0.0
8,3,umbrella,0.017780303955078125,0.0053863525390625,1.0,0.9863668555240793,0.7877129631981745,0.9586204290390015,0.7373242378234863,0.9077451190731602,1.0,0.0,0.0,0.0,inf,0.0,0.0
9,1,basket,0.03541374206542969,0.02206134796142578,1.0,0.9996109454026715,0.8757538087219457,0.9511371850967407,0.923514723777771,0.8574083050573599,1.0,0.0,0.0,0.0,inf,,
9,2,table,0.05411720275878906,0.0234375,1.0,0.9998372395833334,0.9897041247998034,0.9954090118408203,0.9443170428276062,0.9794699185845699,1.0,0.0,0.0,0.0,inf,0.0,0.0
9,3,chair,0.03202247619628906,0.012487411499023438,1.0,0.9974797617229265,0.992093229432485,0.9918413162231445,0.845854640007019,0.9414795401751147,1.0,0.0,0.0,0.0,inf,0.003213748461503396,0.09904879123550774
10,1,table,0.046993255615234375,0.02156352996826172,1.0,0.9917296890893813,0.921256955538419,0.9682209491729736,0.7537348866462708,0.9772708823768163,1.0,0.0,0.0,0.0,inf,,
10,2,chair,0.023125648498535156,0.011124610900878906,1.0,0.9939134162023147,0.9017058375392611,0.8910791277885437,0.6606343984603882,0.8904284712771661,1.0,0.0,0.0,0.0,inf,0.0,0.0
