case_id,step,object,allowed_change_fraction,changed_fraction_of_image,changed_pixels_inside_interaction,changed_pixels_inside_placement_rectangle,color_histogram_similarity,dino_identity_similarity,edge_structure_similarity,interaction_inside_rectangle,object_support_inside_rectangle,outside_changed_fraction,outside_mae,outside_max_error,outside_psnr,prior_objects_mean_changed_fraction,prior_objects_mean_mae
5,2,vase,0.04254913330078125,0.027970314025878906,1.0,1.0,0.9923243482138778,0.9967313408851624,0.9782318472862244,0.9503317195624887,1.0,0.0,0.0,0.0,inf,0.0,0.0
5,3,fork,0.01508331298828125,0.0031843185424804688,1.0,1.0,0.9707013855175736,0.9890123605728149,0.8154405951499939,0.8615326251896813,1.0,0.0,0.0,0.0,inf,0.0,0.0
6,1,toothbrush,0.011824607849121094,0.0021419525146484375,1.0,1.0,0.9313824304727628,0.9459239840507507,0.8971779346466064,0.5522219533833373,1.0,0.0,0.0,0.0,inf,,
6,2,bucket,0.04267406463623047,0.028801918029785156,1.0,0.9999337770272507,0.992046187249016,0.9909742474555969,0.9785978198051453,0.9119270565624511,1.0,0.0,0.0,0.0,inf,0.0,0.0
6,3,potted plant,0.023693084716796875,0.011181831359863281,1.0,0.9995735607675906,0.9264290421480922,0.947378396987915,0.7876023650169373,0.899090323619385,1.0,0.0,0.0,0.0,inf,0.0,0.0
7,1,ladder,0.04511260986328125,0.014401435852050781,1.0,1.0,0.9706144034861834,0.9970954656600952,0.9415794014930725,0.9546338576018941,1.0,0.0,0.0,0.0,inf,,
7,2,bicycle,0.08678436279296875,0.03200817108154297,1.0,1.0,0.973878926228326,0.9975285530090332,0.985550582408905,0.9427032967032967,1.0,0.0,0.0,0.0,inf,0.0,0.0
7,3,hammer,0.013377189636230469,0.0029802322387695312,1.0,1.0,0.9467243286473258,0.9805666208267212,0.8161585927009583,0.8450844799315606,1.0,0.0,0.0,0.0,inf,0.0,0.0
8,1,chair,0.053854942321777344,0.025022506713867188,1.0,1.0,0.9938463465268805,0.9970053434371948,0.933930516242981,0.9702856333339236,1.0,0.0,0.0,0.0,inf,,
8,2,table,0.04062461853027344,0.015542030334472656,1.0,0.9999386390133154,0.9876315571627199,0.9911976456642151,0.9220365285873413,0.9742476172590262,1.0,0.0,0.0,0.0,inf,0.0,0.0
8,3,umbrella,0.017780303955078125,0.0053558349609375,1.0,0.9973290598290598,0.9725595237041285,0.9804875254631042,0.8964617252349854,0.9077451190731602,1.0,0.0,0.0,0.0,inf,0.0,0.0
9,1,basket,0.03541374206542969,0.02160930633544922,1.0,0.9999117348514939,0.8635983764885077,0.9576339721679688,0.9554062485694885,0.8574083050573599,1.0,0.0,0.0,0.0,inf,,
9,2,table,0.05411720275878906,0.022527694702148438,1.0,0.9999576665819998,0.9748183580528896,0.9920298457145691,0.9723660349845886,0.9794699185845699,1.0,0.0,0.0,0.0,inf,0.0,0.0
9,3,chair,0.03202247619628906,0.012208938598632812,1.0,0.9998437744102484,0.9866708673755831,0.9913932681083679,0.8585506677627563,0.9414795401751147,1.0,0.0,0.0,0.0,inf,0.0033960887997447234,0.12412058774369027
10,1,table,0.046993255615234375,0.018236160278320312,1.0,1.0,0.9614840695014212,0.9899429082870483,0.9140946865081787,0.9772708823768163,1.0,0.0,0.0,0.0,inf,,
10,2,chair,0.023125648498535156,0.007970809936523438,1.0,0.9985642498205313,0.9797470047507977,0.9889276027679443,0.8245993852615356,0.8904284712771661,1.0,0.0,0.0,0.0,inf,0.0,0.0
10,3,book,0.01747608184814453,0.008889198303222656,1.0,0.9907735221542753,0.9734291084251928,0.9064127206802368,0.8566187620162964,0.8363437926330151,1.0,0.0,0.0,0.0,inf,0.004786450662739323,0.26310137457044674
